case_id,decision_id,regime,policy_class,authority_class,model_class,tc,urr,adr,ac,fhc_rate
F10-1,DF1,B,CORRECT_UNIQUE,CORRECT_UNIQUE,CORRECT_UNIQUE,1,1.0000,,1,0.0000
F10-1,DF1,C,CORRECT_UNIQUE,CORRECT_UNIQUE,CORRECT_UNIQUE,1,1.0000,,1,0.0000
F10-2,DF2,B,AMBIGUOUS,CORRECT_UNIQUE,CORRECT_UNIQUE,0,0.6667,1.0000,0,0.0000
F10-2,DF2,C,CORRECT_UNIQUE,CORRECT_UNIQUE,CORRECT_UNIQUE,1,1.0000,0.0000,1,0.0000
F10-3,DF3,B,CORRECT_UNIQUE,AMBIGUOUS,CORRECT_UNIQUE,0,0.6667,1.0000,0,0.0000
F10-3,DF3,C,CORRECT_UNIQUE,CORRECT_UNIQUE,CORRECT_UNIQUE,1,1.0000,0.0000,1,0.0000
F10-4,DF4,B,CORRECT_UNIQUE,CORRECT_UNIQUE,AMBIGUOUS,1,0.6667,1.0000,0,0.0000
F10-4,DF4,C,CORRECT_UNIQUE,CORRECT_UNIQUE,CORRECT_UNIQUE,1,1.0000,0.0000,1,0.0000
F10-5,DF5,B,AMBIGUOUS,AMBIGUOUS,CORRECT_UNIQUE,0,0.3333,1.0000,0,0.0000
F10-5,DF5,C,CORRECT_UNIQUE,CORRECT_UNIQUE,CORRECT_UNIQUE,1,1.0000,0.0000,1,0.0000
F10-6,DF6,B,CORRECT_UNIQUE,CORRECT_UNIQUE,CORRECT_UNIQUE,1,1.0000,0.0000,1,0.0000
F10-6,DF6,C,CORRECT_UNIQUE,CORRECT_UNIQUE,CORRECT_UNIQUE,1,1.0000,0.0000,1,0.0000
