category,regime,n,mean_aia,tc_rate,mean_ac,mean_jc,mean_fhc_rate
control,A,1,0.7500,1.0000,0.0000,0.7500,0.0000
control,B,1,1.0000,1.0000,1.0000,1.0000,0.0000
control,C,1,1.0000,1.0000,1.0000,1.0000,0.0000
forward-drift,A,5,0.6000,0.6000,0.0000,0.7500,0.2000
forward-drift,B,5,1.0000,1.0000,1.0000,1.0000,0.0000
forward-drift,C,5,1.0000,1.0000,1.0000,1.0000,0.0000
retroactive-drift,A,1,0.5000,0.0000,0.0000,0.7500,0.5000
retroactive-drift,B,1,0.7500,0.0000,1.0000,1.0000,0.5000
retroactive-drift,C,1,1.0000,1.0000,1.0000,1.0000,0.0000
combined-drift,A,2,0.1250,0.0000,0.0000,0.7500,1.0000
combined-drift,B,2,0.6250,0.0000,1.0000,1.0000,0.7500
combined-drift,C,2,1.0000,1.0000,1.0000,1.0000,0.0000
concurrency,A,2,0.6250,0.5000,0.0000,0.7500,0.2500
concurrency,B,2,1.0000,1.0000,1.0000,1.0000,0.0000
concurrency,C,2,1.0000,1.0000,1.0000,1.0000,0.0000
