case_id,category,decision_id,regime,aia,tc,ac,jc,fhc_rate
1,control,D1,A,0.7500,1,0,0.7500,0.0000
1,control,D1,B,1.0000,1,1,1.0000,0.0000
1,control,D1,C,1.0000,1,1,1.0000,0.0000
2,forward-drift,D2,A,0.5000,0,0,0.7500,0.5000
2,forward-drift,D2,B,1.0000,1,1,1.0000,0.0000
2,forward-drift,D2,C,1.0000,1,1,1.0000,0.0000
3,retroactive-drift,D3,A,0.5000,0,0,0.7500,0.5000
3,retroactive-drift,D3,B,0.7500,0,1,1.0000,0.5000
3,retroactive-drift,D3,C,1.0000,1,1,1.0000,0.0000
4,forward-drift,D4,A,0.5000,0,0,0.7500,0.5000
4,forward-drift,D4,B,1.0000,1,1,1.0000,0.0000
4,forward-drift,D4,C,1.0000,1,1,1.0000,0.0000
5,forward-drift,D5,A,0.7500,1,0,0.7500,0.0000
5,forward-drift,D5,B,1.0000,1,1,1.0000,0.0000
5,forward-drift,D5,C,1.0000,1,1,1.0000,0.0000
6,forward-drift,D6,A,0.7500,1,0,0.7500,0.0000
6,forward-drift,D6,B,1.0000,1,1,1.0000,0.0000
6,forward-drift,D6,C,1.0000,1,1,1.0000,0.0000
7,forward-drift,D7,A,0.5000,1,0,0.7500,0.0000
7,forward-drift,D7,B,1.0000,1,1,1.0000,0.0000
7,forward-drift,D7,C,1.0000,1,1,1.0000,0.0000
8,combined-drift,D8,A,0.2500,0,0,0.7500,1.0000
8,combined-drift,D8,B,0.5000,0,1,1.0000,1.0000
8,combined-drift,D8,C,1.0000,1,1,1.0000,0.0000
9,combined-drift,D9,A,0.0000,0,0,0.7500,1.0000
9,combined-drift,D9,B,0.7500,0,1,1.0000,0.5000
9,combined-drift,D9,C,1.0000,1,1,1.0000,0.0000
10,concurrency,D10x,A,0.5000,0,0,0.7500,0.5000
10,concurrency,D10x,B,1.0000,1,1,1.0000,0.0000
10,concurrency,D10x,C,1.0000,1,1,1.0000,0.0000
10,concurrency,D10y,A,0.7500,1,0,0.7500,0.0000
10,concurrency,D10y,B,1.0000,1,1,1.0000,0.0000
10,concurrency,D10y,C,1.0000,1,1,1.0000,0.0000
